,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx818026,00   0,01  55,02  60,03  55,04  63,05  56,06  58,07  54
1,11,xx818055,00   0,01  55,02  56,03  56,04  68,05  55,06  57,07  56
2,11,xx818084,00   0,01  55,02  58,03  55,04  66,05  56,06  59,07  57
3,11,xx818114,00   0,01  55,02  59,03  54,04  65,05  56,06  54,07  55
4,11,xx818143,00   0,01  56,02  57,03  55,04  66,05  57,06  61,07  55
5,11,xx818172,00   0,01  57,02  58,03  56,04  64,05  55,06  57,07  52
6,11,xx818202,00   0,01  56,02  55,03  56,04  67,05  55,06  57,07  56
7,11,xx818231,00   0,01  56,02  59,03  55,04  67,05  57,06  56,07  55
8,0,xx818260,00   0,01  56,02  58,03  52,04  67,05  57,06  58,07  54
9,11,xx818290,00   0,01  55,02  58,03  54,04  69,05  56,06  56,07  54
10,11,xx818319,00   0,01  56,02  57,03  56,04  69,05  57,06  59,07  55
11,11,xx818348,00   0,01  56,02  58,03  55,04  69,05  56,06  56,07  53
12,11,xx818377,00   0,01  55,02  59,03  56,04  70,05  56,06  58,07  55
13,11,xx818407,00   0,01  55,02  57,03  55,04  69,05  56,06  58,07  54
14,11,xx818436,00   0,01  54,02  59,03  54,04  68,05  57,06  57,07  51
15,11,xx818465,00   0,01  55,02  59,03  55,04  67,05  55,06  56,07  52
16,11,xx818495,00   0,01  57,02  55,03  54,04  69,05  57,06  59,07  54
17,11,xx818524,00   0,01  55,02  58,03  55,04  68,05  58,06  56,07  53
18,11,xx818553,00   0,01  55,02  58,03  56,04  68,05  56,06  56,07  54
19,11,xx818583,00   0,01  57,02  57,03  56,04  67,05  55,06  58,07  56
20,11,xx818612,00   0,01  55,02  55,03  55,04  68,05  56,06  59,07  54
21,11,xx818641,00   0,01  57,02  56,03  54,04  66,05  56,06  57,07  55
22,11,xx818670,00   0,01  56,02  58,03  54,04  67,05  58,06  57,07  55
23,11,xx818700,00   0,0,02  60,03  56,04  67,05  56,06  58,07  54
24,11,xx818729,00   0,01  54,02  57,03  54,04  65,05  55,06  58,07  56
25,11,xx818758,00   0,01  56,02  57,03  54,04  66,05  55,06  57,07  57
26,11,xx818788,00   0,01  53,02  55,03  53,04  64,05  57,06  57,07  55
27,11,0,00   0,01  55,02  54,03  55,04  65,05  54,06  55,07  53
28,11,xx818846,00   0,01  55,02  56,03  55,04  62,05  54,06  58,07  53
29,11,xx818875,00   0,01  54,02  57,03  54,04  59,05  55,06  58,07  57
30,11,xx818905,00   0,01  55,02  56,03  55,04  58,05  56,06  54,07  55
31,11,xx818934,00   0,01  56,02  58,03  56,04  56,05  54,06  54,07  54
32,11,xx818963,00   0,01  54,02  57,03  54,04  56,05  55,06  56,07  57
33,11,xx818993,00   0,01  55,02  55,03  56,04  56,05  54,06  56,07  54
34,11,xx819022,00   0,01  55,02  57,03  54,04  56,05  55,06  56,07  54
35,11,xx819051,00   0,01  53,02  56,03  54,04  56,05  54,06  53,07  56
36,11,xx819081,00   0,01  55,02  56,03  54,04  56,05  55,06  55,07  53
37,11,xx819110,00   0,01  55,02  55,03  55,04  55,05  56,06  58,07  56
38,11,xx819139,00   0,01  55,02  55,03  55,04  56,05  55,06  54,07  55
39,11,xx819168,00   0,01  55,02  57,03  54,04  55,05  54,06  57,07  55
40,11,xx819198,00   0,01  55,02  55,03  55,04  61,05  56,06  57,07  56
41,11,xx819227,00   0,01  58,02  55,03  53,04  66,05  54,06  57,07  55
42,11,xx819256,00   0,01  55,02  54,03  54,04  71,05  56,06  55,07  54
43,11,xx819286,00   0,01  54,02  54,03  54,04  79,05  57,06  58,07  54
44,11,xx819315,00   0,01  56,02  58,03  55,04  94,05  60,06  60,07  55
45,11,xx819344,00   0,01  57,02  57,03  68,04 106,05  62,06  60,07  55
46,11,xx819374,00   0,01  58,02  58,03  69,04 106,05  62,06  60,07  53
47,11,xx819403,00   0,01  58,02  59,03  67,04 103,05  64,06  61,07  54
48,11,xx819432,00   0,01  59,02  59,03  70,04  95,05  63,06  61,07  53
