,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx2361352,00   0,01  57,02  57,03  69,04 109,05  59,06  57,07  55
1,11,xx2361381,00   0,01  54,02  58,03  69,04 111,05  60,06  58,07  53
2,11,xx2361411,00   0,01  56,02  59,03  67,04 111,05  59,06  57,07  56
3,11,xx2361440,00   0,01  57,02  58,03  68,04 113,05  59,06  57,07  55
4,11,xx2361469,00   0,01  56,02  57,03  69,04 111,05  58,06  60,07  56
5,11,xx2361499,00   0,01  56,02  58,03  67,04 111,05  59,06  55,07  54
6,11,xx2361528,00   0,01  56,02  59,03  69,04 111,05  59,06  56,07  56
7,11,xx2361557,00   0,01  56,02  60,03  69,04 113,05  59,06  59,07  56
8,11,xx2361586,00   0,01  58,02  57,03  69,04 113,05  60,06  58,07  53
9,11,xx2361616,00   0,01  57,02  56,03  70,04 113,05  61,06  59,07  55
10,11,xx2361645,00   0,01  56,02  56,03  69,04 113,05  59,06  57,07  54
11,11,xx2361674,00   0,01  57,02  54,03  70,04 113,05  58,06  57,07  55
12,11,xx2361704,00   0,01  58,02  55,03  71,04 114,05  60,06  54,07  53
13,11,xx2361733,00   0,01  57,02  56,03  71,04 114,05  60,06  58,07  54
14,11,xx2361762,00   0,01  56,02  55,03  70,04 116,05  61,06  58,07  56
15,11,xx2361791,00   0,01  55,02  56,03  70,04 114,05  59,06  57,07  55
16,11,xx2361821,00   0,01  58,02  57,03  72,04 115,05  59,06  58,07  56
17,11,xx2361850,00   0,01  58,02  55,03  73,04 114,05  60,06  56,07  55
18,11,xx2361879,00   0,01  58,02  55,03  72,04 109,05  60,06  57,07  55
19,11,xx2361909,00   0,01  58,02  57,03  73,04 105,05  59,06  59,07  54
20,11,xx2361938,00   0,01  56,02  55,03  72,04  99,05  59,06  58,07  55
21,11,xx2361967,00   0,01  57,02  56,03  70,04  86,05  60,06  56,07  53
22,11,xx2361997,00   0,01  59,02  55,03  64,04  73,05  60,06  58,07  55
23,11,xx2362026,00   0,01  58,02  56,03  62,04  62,05  61,06  56,07  54
24,11,xx2362055,00   0,01  60,02  56,03  58,04  57,05  59,06  56,07  55
25,11,xx2362084,00   0,01  60,02  54,03  56,04  56,05  59,06  56,07  55
26,11,xx2362114,00   0,01  58,02  55,03  55,04  55,05  58,06  56,07  54
27,11,xx2362143,00   0,01  53,02  54,03  55,04  55,05  54,06  56,07  53
28,11,xx2362172,00   0,01  54,02  54,03  55,04  56,05  56,06  55,07  54
29,11,xx2362202,00   0,01  55,02  55,03  55,04  55,05  53,06  57,07  53
30,11,xx2362231,00   0,01  55,02  55,03  54,04  56,05  55,06  55,07  56
31,11,xx2362260,00   0,01  55,02  55,03  55,04  56,05  55,06  55,07  55
32,11,xx2362290,00   0,01  57,02  56,03  56,04  55,05  55,06  56,07  55
33,11,xx2362319,00   0,01  56,02  56,03  54,04  54,05  56,06  55,07  55
34,11,xx2362348,00   0,01  55,02  54,03  54,04  55,05  55,06  56,07  55
35,11,xx2362377,00   0,01  53,02  54,03  55,04  55,05  54,06  55,07  55
36,11,xx2362407,00   0,01  55,02  54,03  55,04  56,05  54,06  59,07  54
37,11,xx2362436,00   0,01  56,02  54,03  56,04  54,05  55,06  57,07  54
38,11,xx2362465,00   0,01  55,02  55,03  56,04  55,05  55,06  59,07  55
39,11,xx2362495,00   0,01  54,02  54,03  55,04  56,05  54,06  57,07  56
40,11,xx2362524,00   0,01  57,02  54,03  54,04  54,05  55,06  55,07  56
41,11,xx2362553,00   0,01  54,02  54,03  56,04  54,05  55,06  56,07  56
42,11,xx2362583,00   0,01  53,02  55,03  55,04  79,05  56,06  55,07  54
43,11,xx2362612,00   0,01  55,02  54,03  57,04 104,05  56,06  57,07  54
44,11,xx2362641,00   0,01  54,02  54,03  65,04 114,05  56,06  55,07  56
45,11,xx2362670,00   0,01  57,02  55,03  72,04 119,05  57,06  59,07  54
46,11,xx2362700,00   0,01  57,02  55,03  75,04 120,05  59,06  56,07  56
47,11,xx2362729,00   0,01  58,02  57,03  80,04 111,05  59,06  54,07  53
48,11,xx2362758,00   0,01  59,02  57,03  83,04 101,05  63,06  57,07  55
49,11,xx2362788,00   0,01  63,02  57,03  86,04  88,05  64,06  58,07  53
50,11,xx2362817,00   0,01  67,02  58,03  85,04  79,05  66,06  61,07  56
51,11,xx2362846,00   0,01  70,02  60,03  82,04  72,05  68,06  66,07  54
52,11,xx2362875,00   0,01  74,02  58,03  77,04  63,05  73,06  67,07  54
53,11,xx2362905,00   0,01  79,02  57,03  73,04  60,05  75,06  70,07  53
54,11,xx2362934,00   0,01  83,02  57,03  69,04  58,05  79,06  74,07  55
55,11,xx2362963,00   0,01  85,02  56,03  64,04  56,05  81,06  80,07  55
56,11,xx2362993,00   0,01  91,02  55,03  61,04  55,05  81,06  85,07  55
57,11,xx2363022,00   0,01  91,02  55,03  58,04  56,05  83,06  86,07  57
58,11,xx2363051,00   0,01  89,02  55,03  56,04  55,05  81,06  89,07  53
59,11,xx2363081,00   0,01  85,02  55,03  55,04  55,05  80,06  91,07  56
60,11,xx2363110,00   0,01  85,02  53,03  57,04  55,05  78,06  93,07  56
61,11,xx2363139,00   0,01  84,02  55,03  56,04  56,05  75,06  97,07  54
62,11,xx2363168,00   0,01  79,02  55,03  53,04  55,05  70,06 100,07  55
63,11,xx2363198,00   0,01  76,02  56,03  55,04  54,05  66,06 102,07  56
64,11,xx2363227,00   0,01  73,02  56,03  55,04  55,05  62,06 101,07  54
65,11,xx2363256,00   0,01  69,02  53,03  54,04  55,05  57,06 100,07  54
66,11,xx2363286,00   0,01  70,02  54,03  56,04  55,05  57,06  93,07  54
67,11,xx2363315,00   0,01  66,02  55,03  54,04  55,05  55,06  69,07  55
68,11,xx2363344,00   0,01  58,02  54,03  54,04  55,05  55,06  59,07  54
69,11,xx2363374,00   0,01  55,02  54,03  55,04  56,05  55,06  56,07  55
70,11,xx2363403,00   0,01  56,02  53,03  56,04  55,05  55,06  54,07  54
71,11,xx2363432,00   0,01  56,02  54,03  54,04  55,05  54,06  56,07  56
72,11,xx2363461,00   0,01  55,02  55,03  55,04  54,05  54,06  57,07  54
73,11,xx2363491,00   0,01  55,02  53,03  55,04  55,05  55,06  58,07  53
74,11,xx2363520,00   0,01  54,02  55,03  56,04  55,05  55,06  57,07  56
75,11,xx2363549,00   0,01  56,02  54,03  53,04  55,05  55,06  55,07  54
76,11,xx2363579,00   0,01  55,02  55,03  54,04  55,05  55,06  57,07  55
77,11,xx2363608,00   0,01  55,02  55,03  54,04  55,05  54,06  54,07  55
78,11,xx2363637,00   0,01  54,02  55,03  55,04  55,05  56,06  55,07  54
79,11,xx2363666,00   0,01  53,02  55,03  55,04  55,05  56,06  54,07  56
80,11,xx2363696,00   0,01  55,02  54,03  54,04  56,05  56,06  54,07  54
81,11,xx2363725,00   0,01  54,02  55,03  55,04  53,05  53,06  53,07  54
82,11,xx2363754,00   0,01  53,02  54,03  55,04  53,05  55,06  54,07  55
83,11,xx2363784,00   0,01  55,02  55,03  54,04  54,05  54,06  55,07  53
84,11,xx2363813,00   0,01  54,02  56,03  54,04  55,05  54,06  55,07  55
85,11,xx2363842,00   0,01  55,02  56,03  55,04  58,05  55,06  57,07  53
86,11,xx2363872,00   0,01  54,02  56,03  55,04 107,05  55,06  54,07  54
87,11,xx2363901,00   0,01  55,02  54,03  60,04 129,05  58,06  54,07  55
88,11,xx2363930,00   0,01  55,02  55,03  74,04 132,05  57,06  58,07  56
89,11,xx2363959,00   0,01  55,02  55,03  85,04 134,05  58,06  57,07  53
90,11,xx2363989,00   0,01  56,02  56,03  90,04 125,05  62,06  58,07  57
91,11,xx2364018,00   0,01  57,02  56,03  92,04 110,05  62,06  55,07  53
92,11,xx2364047,00   0,01  59,02  56,03  91,04  99,05  64,06  57,07  56
93,11,xx2364077,00   0,01  58,02  56,03  90,04  88,05  66,06  62,07  55
94,11,xx2364106,00   0,01  59,02  55,03  86,04  77,05  69,06  59,07  55
95,11,xx2364135,00   0,01  62,02  56,03  84,04  73,05  73,06  65,07  56
