,x,y,d,r,t
0,170,60,75,50,11.689
1,90,120,80,55,0.761
2,180,200,75,50,
3,80,270,80,55,
4,150,350,75,50,
5,80,420,80,60,
6,120,510,87,65,
7,350,60,75,50,
8,420,120,80,55,
9,350,200,75,50,
10,420,270,80,55,
11,380,350,75,50,
12,420,420,80,60,
13,390,510,87,65,
14,170,60,75,50,
15,90,120,95,70,
16,180,200,80,55,
17,80,270,95,70,
18,150,350,75,50,
19,80,420,80,60,
20,120,510,80,55,
21,350,60,75,50,
22,420,120,95,70,
23,350,200,80,55,
24,420,270,95,70,
25,380,350,75,50,
26,420,420,80,60,
27,390,510,80,55,
28,170,60,75,50,
29,90,120,100,85,
30,180,200,75,50,
31,80,270,87,65,
32,150,350,75,50,
33,80,420,75,50,
34,120,510,75,50,
35,350,60,75,50,
36,420,120,100,85,
37,350,200,75,50,
38,420,270,87,65,
39,380,350,75,50,
40,420,420,75,50,
41,390,510,75,50,
