,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx112401,00   0,01  58,02  55,03  62,04  64,05  56,06  57,07  55
1,11,xx112430,00   0,01  60,02  60,03  62,04  63,05  54,06  60,07  56
2,11,xx112459,00   0,01  59,02  58,03  64,04  62,05  57,06  57,07  53
3,11,xx112489,00   0,01  58,02  56,03  62,04  62,05  55,06  56,07  54
4,11,xx112518,00   0,01  60,02  58,03  61,04  63,05  55,06  58,07  56
5,11,xx112547,00   0,01  60,02  56,03  63,04  63,05  56,06  56,07  55
6,11,xx112577,00   0,01  59,02  54,03  63,04  62,05  56,06  57,07  55
7,11,xx112606,00   0,01  59,02  57,03  62,04  62,05  54,06  54,07  55
8,11,xx112635,00   0,01  60,02  53,03  63,04  64,05  55,06  56,07  56
9,11,xx112665,00   0,01  60,02  57,03  63,04  63,05  56,06  56,07  53
10,11,xx112694,00   0,01  58,02  60,03  63,04  63,05  54,06  57,07  56
11,11,xx112723,00   0,01  57,02  58,03  63,04  64,05  56,06  57,07  57
12,11,xx112752,00   0,01  59,02  58,03  65,04  66,05  53,06  61,07  54
13,11,xx112782,00   0,01  60,02  56,03  63,04  65,05  57,06  56,07  54
14,11,xx112811,00   0,01  58,02  57,03  63,04  65,05  56,06  57,07  57
15,11,xx112840,00   0,01  58,02  55,03  63,04  64,05  54,06  55,07  56
16,11,xx112870,00   0,01  60,02  54,03  63,04  64,05  53,06  57,07  56
17,11,xx112899,00   0,01  60,02  57,03  63,04  64,05  55,06  57,07  56
18,11,xx112928,00   0,01  59,02  59,03  62,04  63,05  54,06  56,07  53
19,11,xx112958,00   0,01  58,02  57,03  63,04  64,05  54,06  58,07  55
20,11,xx112987,00   0,01  58,02  57,03  64,04  62,05  54,06  58,07  52
21,11,xx113016,00   0,01  59,02  59,03  63,04  63,05  54,06  56,07  55
22,11,xx113045,00   0,01  60,02  56,03  65,04  61,05  55,06  57,07  55
23,11,xx113075,00   0,01  60,02  59,03  66,04  64,05  56,06  59,07  55
24,11,xx113104,00   0,01  59,02  56,03  65,04  65,05  57,06  57,07  56
25,11,xx113133,00   0,01  59,02  57,03  65,04  64,05  56,06  58,07  54
26,11,xx113163,00   0,01  58,02  57,03  65,04  66,05  54,06  57,07  55
27,11,xx113192,00   0,01  56,02  57,03  62,04  62,05  55,06  58,07  54
28,11,xx113221,00   0,01  56,02  56,03  60,04  59,05  53,06  58,07  57
29,11,xx113250,00   0,01  56,02  55,03  59,04  58,05  55,06  54,07  55
30,11,xx113280,00   0,01  54,02  56,03  57,04  58,05  54,06  57,07  55
31,11,xx113309,00   0,01  55,02  57,03  56,04  58,05  55,06  57,07  55
32,11,xx113338,00   0,01  55,02  55,03  57,04  57,05  55,06  52,07  55
33,11,xx113368,00   0,01  56,02  57,03  57,04  57,05  56,06  56,07  53
34,11,xx113397,00   0,01  55,02  55,03  56,04  56,05  55,06  55,07  55
35,11,xx113426,00   0,01  56,02  56,03  55,04  56,05  54,06  56,07  54
36,11,xx113456,00   0,01  54,02  54,03  56,04  58,05  53,06  54,07  56
37,11,xx113485,00   0,01  55,02  55,03  56,04  58,05  54,06  54,07  53
38,11,xx113514,00   0,01  54,02  53,03  54,04  56,05  55,06  54,07  53
39,11,xx113543,00   0,01  56,02  53,03  56,04  55,05  55,06  54,07  54
40,11,xx113573,00   0,01  54,02  57,03  56,04  55,05  54,06  55,07  55
41,11,xx113602,00   0,01  55,02  56,03  58,04  56,05  54,06  54,07  53
42,11,xx113631,00   0,01  56,02  55,03  56,04  55,05  55,06  55,07  55
43,11,xx113661,00   0,01  54,02  56,03  57,04  57,05  55,06  55,07  51
44,11,xx113690,00   0,01  55,02  53,03  56,04  56,05  55,06  55,07  56
45,11,xx113719,00   0,01  54,02  56,03  57,04  57,05  53,06  56,07  58
46,11,xx113749,00   0,01  55,02  56,03  58,04  58,05  54,06  54,07  52
47,11,xx113778,00   0,01  56,02  56,03  57,04  59,05  54,06  54,07  55
48,11,xx113807,00   0,01  56,02  52,03  57,04  59,05  55,06  55,07  54
49,11,xx113836,00   0,01  53,02  56,03  60,04  60,05  54,06  57,07  54
50,11,xx113866,00   0,01  58,02  57,03  60,04  64,05  55,06  57,07  57
51,11,xx113895,00   0,01  58,02  58,03  64,04  65,05  55,06  56,07  56
52,11,xx113924,00   0,01  57,02  58,03  65,04  65,05  55,06  58,07  57
53,11,xx113954,00   0,01  62,02  60,03  65,04  65,05  57,06  59,07  55
54,11,xx113983,00   0,01  63,02  59,03  67,04  65,05  56,06  63,07  54
55,11,xx114012,00   0,01  65,02  62,03  67,04  64,05  58,06  64,07  55
56,11,xx114041,00   0,01  69,02  66,03  66,04  62,05  58,06  66,07  55
57,11,xx114071,00   0,01  69,02  66,03  64,04  61,05  58,06  70,07  54
58,11,xx114100,00   0,01  69,02  67,03  62,04  59,05  58,06  72,07  57
59,11,xx114129,00   0,01  67,02  69,03  60,04  57,05  55,06  75,07  58
60,11,xx114159,00   0,01  65,02  69,03  59,04  58,05  56,06  78,07  54
61,11,xx114188,00   0,01  64,02  70,03  57,04  57,05  55,06  78,07  55
62,11,xx114217,00   0,01  61,02  71,03  57,04  56,05  54,06  79,07  55
63,11,xx114247,00   0,01  59,02  73,03  57,04  56,05  54,06  79,07  58
64,11,xx114276,00   0,01  59,02  71,03  55,04  56,05  51,06  78,07  57
65,11,xx114305,00   0,01  59,02  75,03  58,04  57,05  54,06  82,07  57
66,11,xx114334,00   0,01  59,02  77,03  56,04  54,05  54,06  85,07  55
67,11,xx114364,00   0,01  57,02  80,03  56,04  56,05  54,06  91,07  53
68,11,xx114393,00   0,01  57,02  82,03  56,04  57,05  54,06  91,07  56
69,11,xx114422,00   0,01  58,02  82,03  56,04  57,05  54,06  88,07  55
70,11,xx114452,00   0,01  57,02  82,03  58,04  56,05  55,06  90,07  55
71,11,xx114481,00   0,01  56,02  75,03  57,04  55,05  53,06  80,07  55
72,11,xx114510,00   0,01  56,02  67,03  53,04  54,05  55,06  70,07  53
73,11,xx114540,00   0,01  55,02  60,03  57,04  55,05  54,06  62,07  54
74,11,xx114569,00   0,01  56,02  60,03  56,04  55,05  55,06  55,07  54
75,11,xx114598,00   0,01  55,02  55,03  57,04  55,05  54,06  58,07  54
76,11,xx114627,00   0,01  56,02  56,03  56,04  56,05  53,06  57,07  53
77,11,xx114657,00   0,01  54,02  56,03  56,04  55,05  53,06  57,07  55
78,11,xx114686,00   0,01  55,02  54,03  54,04  56,05  52,06  53,07  55
79,11,xx114715,00   0,01  54,02  55,03  56,04  56,05  56,06  56,07  54
80,11,xx114745,00   0,01  55,02  57,03  56,04  57,05  54,06  56,07  54
81,11,xx114774,00   0,01  56,02  56,03  54,04  55,05  53,06  54,07  55
82,11,xx114803,00   0,01  54,02  53,03  55,04  55,05  53,06  54,07  54
83,11,xx114833,00   0,01  55,02  54,03  56,04  55,05  55,06  55,07  54
84,11,xx114862,00   0,01  55,02  56,03  56,04  55,05  53,06  57,07  56
85,11,xx114891,00   0,01  56,02  56,03  55,04  54,05  54,06  52,07  57
86,11,xx114920,00   0,01  55,02  54,03  56,04  55,05  55,06  54,07  55
87,11,xx114950,00   0,01  55,02  53,03  55,04  54,05  55,06  55,07  54
88,11,xx114979,00   0,01  55,02  55,03  55,04  55,05  55,06  55,07  55
89,11,xx115008,00   0,01  54,02  55,03  55,04  58,05  55,06  57,07  53
90,11,xx115038,00   0,01  55,02  54,03  59,04  68,05  54,06  54,07  57
91,11,xx115067,00   0,01  56,02  54,03  63,04  79,05  55,06  54,07  55
92,11,xx115096,00   0,01  57,02  54,03  68,04  80,05  55,06  55,07  56
93,11,xx115125,00   0,01  57,02  54,03  69,04  78,05  57,06  57,07  55
94,11,xx115155,00   0,01  59,02  58,03  70,04  74,05  58,06  58,07  56
95,11,xx115184,00   0,01  59,02  59,03  69,04  73,05  59,06  60,07  56
96,11,xx115213,00   0,01  61,02  61,03  68,04  67,05  59,06  66,07  55
97,11,xx115243,00   0,01  61,02  62,03  67,04  63,05  60,06  66,07  55
98,11,xx115272,00   0,01  63,02  63,03  62,04  62,05  57,06  70,07  56
99,11,xx115301,00   0,01  62,02  62,03  60,04  60,05  56,06  70,07  55
100,11,xx115331,00   0,01  64,02  64,03  59,04  59,05  55,06  72,07  56
101,11,xx115360,00   0,01  61,02  65,03  58,04  57,05  55,06  73,07  55
102,11,xx115389,00   0,01  61,02  68,03  56,04  57,05  54,06  74,07  56
103,11,xx115418,00   0,01  59,02  68,03  59,04  57,05  54,06  75,07  54
104,11,xx115448,00   0,01  61,02  71,03  56,04  56,05  55,06  78,07  54
105,11,xx115477,00   0,01  62,02  72,03  57,04  55,05  53,06  79,07  54
106,11,xx115506,00   0,01  61,02  74,03  56,04  56,05  54,06  82,07  54
107,11,xx115536,00   0,01  59,02  79,03  55,04  57,05  55,06  87,07  55
108,11,xx115565,00   0,01  59,02  78,03  56,04  55,05  54,06  87,07  54
109,11,xx115594,00   0,01  57,02  82,03  55,04  57,05  54,06  89,07  54
110,11,xx115624,00   0,01  57,02  82,03  56,04  55,05  53,06  87,07  54
111,11,xx115653,00   0,01  55,02  78,03  56,04  56,05  53,06  79,07  54
112,11,xx115682,00   0,01  56,02  70,03  55,04  56,05  54,06  70,07  54
113,11,xx115711,00   0,01  55,02  62,03  56,04  55,05  54,06  62,07  56
