,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,xx77719,00   0,01  54,02  57,03  55,04  54,05  54,06  55,07  54
1,11,xx77749,00   0,01  55,02  54,03  56,04  54,05  54,06  54,07  53
2,11,xx77778,00   0,01  56,02  52,03  55,04  54,05  53,06  54,07  56
3,11,xx77807,00   0,01  54,02  56,03  53,04  53,05  56,06  53,07  54
4,11,xx77836,00   0,01  54,02  57,03  56,04  54,05  56,06  56,07  55
5,11,xx77866,00   0,01  53,02  56,03  53,04  54,05  55,06  54,07  53
6,11,xx77895,00   0,01  54,02  53,03  54,04  56,05  55,06  54,07  55
7,11,xx77924,00   0,01  56,02  54,03  56,04  55,05  55,06  53,07  54
8,11,xx77954,00   0,01  55,02  60,03  55,04  56,05  55,06  55,07  55
9,11,xx77983,00   0,01  55,02  55,03  56,04  55,05  55,06  53,07  54
10,11,xx78012,00   0,01  53,02  53,03  55,04  54,05  54,06  53,07  54
11,11,xx78041,00   0,01  54,02  51,03  55,04  54,05  55,06  55,07  54
12,11,xx78071,00   0,01  54,02  57,03  55,04  56,05  53,06  56,07  55
13,11,xx78100,00   0,01  54,02  55,03  56,04  56,05  54,06  56,07  55
14,11,xx78129,00   0,01  55,02  51,03  56,04  54,05  54,06  55,07  54
15,11,xx78159,00   0,01  54,02  55,03  56,04  55,05  55,06  56,07  54
16,11,xx78188,00   0,01  54,02  57,03  55,04  54,05  53,06  57,07  56
17,11,xx78217,00   0,01  55,02  56,03  55,04  56,05  53,06  53,07  55
18,11,xx78247,00   0,01  54,02  52,03  55,04  53,05  56,06  55,07  55
19,11,xx78276,00   0,01  55,02  53,03  55,04  54,05  56,06  55,07  55
20,11,xx78305,00   0,01  56,02  53,03  54,04  54,05  51,06  55,07  55
21,11,xx78334,00   0,01  55,02  54,03  55,04  54,05  54,06  55,07  54
22,11,xx78364,00   0,01  53,02  56,03  54,04  56,05  54,06  55,07  55
23,11,xx78393,00   0,01  55,02  56,03  54,04  54,05  53,06  54,07  56
24,11,xx78422,00   0,01  54,02  54,03  54,04  55,05  54,06  56,07  55
25,11,xx78452,00   0,01  55,02  54,03  54,04  55,05  54,06  54,07  55
26,11,xx78481,00   0,01  54,02  55,03  55,04  54,05  54,06  55,07  56
27,11,xx78510,00   0,01  54,02  56,03  56,04  54,05  54,06  55,07  54
28,11,xx78540,00   0,01  54,02  55,03  54,04  55,05  54,06  54,07  55
29,11,xx78569,00   0,01  54,02  54,03  55,04  55,05  53,06  54,07  54
30,11,xx78598,00   0,01  55,02  55,03  53,04  54,05  56,06  54,07  54
31,11,xx78627,00   0,01  55,02  55,03  53,04  54,05  53,06  55,07  54
32,11,xx78657,00   0,01  54,02  55,03  54,04  56,05  55,06  56,07  55
33,11,xx78686,00   0,01  54,02  53,03  56,04  53,05  54,06  54,07  56
34,11,xx78715,00   0,01  55,02  54,03  53,04  55,05  53,06  54,07  55
35,11,xx78745,00   0,01  55,02  55,03  55,04  55,05  54,06  55,07  56
36,11,xx78774,00   0,01  55,02  54,03  56,04  55,05  56,06  53,07  55
37,11,xx78803,00   0,01  55,02  55,03  56,04  55,05  54,06  55,07  55
38,11,xx78833,00   0,01  55,02  55,03  54,04  55,05  54,06  53,07  56
39,11,xx78862,00   0,01  54,02  55,03  56,04  55,05  54,06  55,07  56
40,11,xx78891,00   0,01  55,02  56,03  55,04  54,05  55,06  56,07  55
41,11,xx78920,00   0,01  54,02  55,03  54,04  53,05  56,06  54,07  56
42,11,xx78950,00   0,01  54,02  55,03  55,04  54,05  54,06  54,07  56
43,11,xx78979,00   0,01  53,02  55,03  56,04  55,05  53,06  54,07  54
44,11,xx79008,00   0,01  55,02  55,03  56,04  54,05  55,06  54,07  55
45,11,xx79038,00   0,01  55,02  56,03  54,04  55,05  53,06  57,07  55
46,11,xx79067,00   0,01  55,02  55,03  53,04  56,05  53,06  56,07  55
47,11,xx79096,00   0,01  54,02  56,03  55,04  56,05  54,06  55,07  55
48,11,xx79125,00   0,01  55,02  55,03  54,04  55,05  54,06  55,07  55
49,11,xx79155,00   0,01  54,02  54,03  54,04  54,05  53,06  55,07  56
