,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,131573,0 933,1 703,2 539,3 428,4 348,5 283,6 234,7 196
1,11,131573,0 931,1 718,2 557,3 443,4 356,5 291,6 242,7 204
2,11,131573,0 931,1 720,2 566,3 451,4 367,5 299,6 248,7 208
3,11,131573,0 929,1 722,2 569,3 454,4 369,5 303,6 252,7 211
4,11,131574,0 930,1 721,2 567,3 456,4 371,5 305,6 254,7 213
5,11,131574,0 931,1 723,2 570,3 457,4 375,5 306,6 256,7 214
6,11,131574,0 931,1 723,2 570,3 459,4 376,5 308,6 255,7 217
7,11,131575,0 932,1 722,2 572,3 462,4 375,5 308,6 258,7 218
8,11,131575,0 932,1 725,2 570,3 462,4 375,5 307,6 258,7 218
9,11,131575,0 930,1 725,2 572,3 461,4 376,5 308,6 258,7 219
10,11,137542,0 933,1 494,2 280,3 179,4 134,5 104,6  89,7  72
11,11,137544,0 931,1 635,2 428,3 291,4 215,5 164,6 130,7 105
12,11,137544,0 932,1 690,2 504,3 371,4 281,5 216,6 173,7 137
13,11,137544,0 932,1 712,2 543,3 415,4 325,5 257,6 204,7 167
14,11,137544,0 931,1 718,2 561,3 440,4 351,5 282,6 229,7 186
15,11,137545,0 931,1 722,2 565,3 451,4 363,5 295,6 242,7 201
16,11,137545,0 929,1 722,2 571,3 458,4 371,5 304,6 251,7 209
17,11,137545,0 933,1 724,2 572,3 459,4 374,5 308,6 255,7 214
18,11,137545,0 931,1 724,2 570,3 459,4 376,5 311,6 258,7 218
19,11,137545,0 930,1 724,2 573,3 462,4 376,5 310,6 259,7 219
20,11,143665,0 929,1 497,2 285,3 188,4 143,5 114,6  98,7  77
21,11,143665,0 930,1 636,2 426,3 296,4 218,5 167,6 134,7 109
22,11,143665,0 932,1 690,2 504,3 371,4 282,5 218,6 173,7 139
23,11,143665,0 931,1 711,2 541,3 416,4 326,5 255,6 205,7 166
24,11,143666,0 931,1 718,2 561,3 439,4 349,5 281,6 228,7 186
25,11,143666,0 931,1 721,2 565,3 451,4 362,5 294,6 241,7 200
26,11,143666,0 931,1 722,2 569,3 458,4 371,5 303,6 250,7 209
27,11,143666,0 931,1 722,2 570,3 458,4 373,5 305,6 254,7 213
28,11,143666,0 930,1 722,2 571,3 459,4 376,5 308,6 257,7 216
29,11,143666,0 931,1 722,2 572,3 459,4 374,5 307,6 258,7 217
30,11,149754,0 930,1 492,2 278,3 179,4 135,5 108,6  90,7  71
31,11,149754,0 931,1 632,2 423,3 291,4 215,5 162,6 128,7 103
32,11,149755,0 933,1 690,2 503,3 367,4 278,5 214,6 169,7 136
33,11,,,,,,,,,
